Name,Rank,Change,Rating,Wins,Losses,Tournaments,Avg Partner Rating,Avg Opp Rating
BRANDON ARLEDGE,275,13,104.15,38,51,9,106.11,108.2
BRANSEN EPPES,276,102,104.1,10,13,2,112.61,105.9
ETHAN GABAY,277,14,104.09,16,8,2,102.93,94.82
CALYN KIR,278,2,104.06,9,18,3,112.25,116.97
ISAAC STAATS,279,5,103.93,12,14,3,107.9,108.21
SCHON SIGUENZA,280,7,103.87,12,31,5,106.37,119.16
ZACH BENDER,281,24,103.75,6,20,3,111.08,119.12
LOGAN COFFELT,282,39,103.74,18,9,3,100.41,96.62
ELIJAH KATZ,283,17,103.62,10,9,2,106.41,100.27
EZRA DANTOWITZ,284,17,103.56,15,29,5,101.37,116.19
MAX HUANG,285,12,103.52,28,45,7,104.04,110.46
JAKE MARTHA,286,7,103.5,13,20,3,106.04,110.88
OWEN LYNCH,287,15,103.49,21,23,4,103.49,105.37
JP CHINCUANCO,287,15,103.49,21,23,4,103.49,105.37
DAVID ROWLANDS,289,6,103.43,14,32,5,104.36,115.22
JACKSON BIGGS,290,49,103.43,13,6,2,100.38,91.05
HENRY PLESZKOCH,291,7,103.38,7,18,3,98.49,117.45
RUBEN ZAPATA,292,28,103.31,25,26,6,101.32,102.28
SAAHIL SHARMA,293,22,103.29,5,11,2,103.23,114.6
DAVIS JUNG,294,7,103.21,4,16,2,112.03,120.18
DAVID GONZALES,295,5,103.02,24,53,9,108.38,115.41
IZAYAH GIBSON,296,23,102.95,12,9,2,102.88,97.01
ALEX STAN,297,28,102.71,7,17,3,109.52,112.49
RISHAB JAIN,298,25,102.63,14,8,2,100.79,93.82
ADIN KLASSEN,299,3,102.43,6,10,2,104.47,108.98
KEVIN CHEN,300,13,102.39,36,32,6,103.04,99.27
ADAM WEISS,301,106,102.36,9,7,2,102.36,97.29
BEN WESTPHAL,301,106,102.36,9,7,2,102.36,97.29
IAN AUSTIN,303,8,102.28,22,36,5,103.96,108.01
JACK BUSH,304,14,102.25,11,13,2,103.18,103.77
PAT MARINICH,305,11,102.09,18,30,5,107.8,109.23
LEVI ROGERS,306,1,102.02,8,14,3,107.4,109.35
BRAD YATES,307,7,101.98,7,15,3,107,111.46
DANNY GOLOGORSKY,308,31,101.94,6,12,2,115.24,111.96
JOSH DIDONATO,309,1,101.92,24,42,7,101.06,110.96
BRANDON STOKES,310,45,101.9,4,11,2,107.53,112.78
JOHN PUTNEY,311,5,101.89,30,25,5,100.03,99.66
GRANT YODER,312,20,101.88,18,13,3,101.64,96.57
LEONARDO TULLO,313,12,101.84,5,13,2,105.69,114.24
TIM DAUDELIN,314,9,101.8,20,10,3,90.67,92.92
SAM MCCUNE,315,11,101.54,16,43,7,106.6,116.29
ETHAN GROOVER,316,21,101.08,7,15,2,104.06,112.93
LUKE HALE,317,40,101.03,16,12,3,101.41,96.83
KADE JANIKULA,318,8,101.02,9,30,5,99.4,118.19
MICHAEL LIN,319,21,100.97,5,11,2,107.3,111.07
IAN LANE,320,90,100.81,18,11,3,99.15,93.71
JOSIAH MCKINNEY,321,7,100.81,6,19,3,100.81,120.08
GABRIEL SKAGGS,321,7,100.81,6,19,3,100.81,120.08
THOMAS MALONEY,323,4,100.75,15,36,6,110.04,114.89
KEVIN CADLE,324,--,100.67,29,48,7,98.01,109.2
CONNOR SHUPE,325,47,100.52,11,7,2,96.31,93.29
KYLE JEUNG,327,3,100.38,4,14,2,102.41,118.93
KENNY VELU,328,35,100.12,22,15,3,97.1,93.45
ADRIAN GARCEA,329,2,99.8,8,27,4,105.59,118.8
BRODY ULRICH,330,49,99.75,13,40,6,102.33,115.85
DAVID MITCHELL,331,3,99.66,3,13,2,117.61,119.49
LUKE REPASS,332,--,99.57,6,16,3,107.55,116.44
JARED DEAN KATZ,333,34,99.5,11,11,2,103.5,98.29
DOM ORLANDO,334,38,99.41,9,13,2,105.72,104.59
SIDNEY MATHUES,335,36,98.88,19,15,3,97.97,95.68
PIERRE-ANDRÉ GAUMOND,336,41,98.88,8,8,2,98.45,94.63
RILEY SAVASTANO,337,30,98.81,27,37,6,97.44,103.1
MAXWELL RISEMAN,338,29,98.8,15,17,3,95.28,100.72
ELLE LOWE,339,4,98.74,4,11,2,104.12,110.36
JUSTIN WANG,340,1,98.74,34,31,5,99.84,97.96
BRANDON TICE,341,9,98.74,15,18,3,99.81,100.3
MICHAEL CAPOBIANCO,342,30,98.6,24,70,10,98.41,114.24
TYLER KEENER,343,59,98.49,7,26,4,101.53,116.58
DREW RYDER,344,--,98.47,24,31,5,105.11,102.5
BRYCEN PATTERSON,345,10,98.42,5,22,3,101.02,117.88
JACK HART,346,2,98.15,23,32,5,102.16,102.79
JASON SMALL,347,5,97.92,11,15,3,96.8,101.5
JACOB MARTINEZ,348,3,97.82,8,24,4,107.41,114.44
NATHAN GARCIA,349,10,97.34,24,37,6,98.38,102.93
NOAH JOHNSON,350,8,97.33,24,38,7,97.91,104.93
ANDREW FELTY,351,7,97.23,21,25,4,93.24,99.81
PATRICK FFRENCH,352,11,97.23,16,12,3,94.18,91.47
RILEY NASSOUR,353,31,96.8,9,7,2,94.71,94.08
EVAN BOCK,354,1,96.63,10,15,3,98.14,104.06
NATHAN GOH,355,23,96.62,5,25,4,104.88,113.92
MACIAH ALDRICH,356,2,96.39,15,9,2,96.57,89.35
JACK WALKER,357,10,96.31,12,12,3,94.79,93.42
NATHAN MONTGOMERY,359,13,96.3,24,26,5,100.6,97.44
DYLAN MARK,360,7,96.15,3,14,2,96.14,113.85
