,Name,Rating,Adjusted Rating,Games
2178,sam clarke,93.4070489913236,99.17588112391546,7
953,bryce mccarthy,94.62397558684088,99.17291932105243,8
875,abby piedmont,93.31980011651824,99.16497501456479,7
591,patrick stinebaugh,94.57045934993656,99.16468605383639,8
148,phillip filipkowski,96.14171967474401,99.16124340755304,10
147,matthew rodriguez,96.14171967474401,99.16124340755304,10
1968,max levinson,89.0661736217388,99.15893643244144,5
380,janek dudzik,98.95499475630237,99.13940744636666,28
381,tadeusz petlak,98.95499475630237,99.13940744636666,28
1985,frank terranova,84.56826248976192,99.1181864279864,4
1986,gregory tullos,84.56826248976192,99.1181864279864,4
227,marek travnik,88.51082516982989,99.11621732075615,5
226,james lister,88.51082516982989,99.11621732075615,5
1987,dan collins,96.96344558205837,99.1112523654805,12
1321,david conac,96.42000680338168,99.10500170084542,11
1322,raphael belhumeur,96.42000680338168,99.10500170084542,11
874,allie foster,96.93508331448852,99.10295121399665,12
1996,nathan yoder,95.85244632704942,99.09835789718466,10
1790,mark helwig,90.98313436455072,99.09831343645507,6
2002,sean santos,84.02256161745234,99.08700352099727,4
2001,jonathan freitas,84.02256161745234,99.08700352099727,4
2117,garrett walter,98.56069367885553,99.08407779563534,21
1483,liam calhoun,97.91611056616385,99.07382691829505,16
1878,ava kay,93.95298379326799,99.06968981434892,8
2048,edgar capule,97.11702326004267,99.06303255951386,13
2049,richard lam,97.11702326004267,99.06303255951386,13
1708,miguel alvarez pablos,98.05325731766588,99.05443926858057,17
1707,ivan alejos garcia,98.05325731766588,99.05443926858057,17
2044,vincent dao,95.63511660768133,99.05111230601769,10
1320,marc-olivier fontaine,96.18043306666885,99.0451082666672,11
1319,francis ouimet,96.18043306666885,99.0451082666672,11
396,etienne prison,98.73346187736418,99.04050142224558,25
1541,sam nunez,90.36340833919594,99.0363408339196,6
1099,nathaniel regier,90.32808166325398,99.0328081663254,6
1098,isaiah williams,90.32808166325398,99.0328081663254,6
10,aidan van eck,98.40226234783908,99.0316741502055,20
1525,cj mierchuk,94.71406224148525,99.02911347292587,9
1526,olivia leach,94.71406224148525,99.02911347292587,9
782,adrianna grothause,94.6461026298583,99.0166310952801,9
1103,brody whitlock,92.11748634282355,99.01468579285294,7
1102,brian davenport,92.11748634282355,99.01468579285294,7
1625,jim buhler,98.8025604680702,99.01387332664605,28
1896,johnny reis,87.12027548828252,99.00925196063712,5
1895,avery murray,87.12027548828252,99.00925196063712,5
278,brandon spector,93.55330102031868,99.00820015697211,8
279,joseph campiglia,93.55330102031868,99.00820015697211,8
1917,osama khan,91.92856610984038,98.99107076373005,7
257,emmet sedar,89.83907844049703,98.98390784404971,6
1278,kevin farrell,97.48944991777657,98.98220942612564,15
1924,eric ferrara,93.36928339746936,98.97988975345683,8
259,joey garrett,93.32272560805822,98.97272701662435,8
1822,gershom delva,89.68210007268146,98.96821000726815,6
879,matthias moorefield,91.73991289857916,98.9674891123224,7
867,caleb wood,86.47275724138137,98.95944286472165,5
868,peyton sparks,86.47275724138137,98.95944286472165,5
445,clement martin-gougenheim,96.43115384216951,98.95545966112279,12
1683,philip roy,97.64445702552828,98.9530920113459,16
2170,andrew stevens,98.81502394859324,98.95044978303973,31
1088,jack walker,98.5376392798626,98.94892823240124,23
97,michael soliz,98.94818620152655,98.94818620152657,47
962,nick matthews,93.06031729803999,98.93235650739076,8
940,matthew smith,94.1772202825724,98.93050984781942,9
231,david plotkin,85.843557086797,98.91104285283055,5
232,mike levine,85.843557086797,98.91104285283055,5
850,joey alisesky,96.24469574166955,98.90088655853742,12
593,cullen bruner,95.58185761231812,98.89546440307953,11
1824,vincent mcdevitt,88.8883378072063,98.88883378072063,6
1823,colby smith,88.8883378072063,98.88883378072063,6
241,chris ng,91.10117842193286,98.8876473027416,7
1499,tim daudelin,98.88207426712685,98.88207426712685,58
1927,anthony gonella,94.84366377540893,98.8790573424802,10
1926,andrew warren,94.84366377540893,98.8790573424802,10
1360,oscar lozano,96.93933796865987,98.87238767266416,14
1359,felix morin,96.93933796865987,98.87238767266416,14
2336,david roth,96.46622894279386,98.851524406408,13
970,jack scelsi,84.85775031463625,98.83521156266433,5
969,drew howell,84.85775031463625,98.83521156266433,5
1454,michael adamczyk,93.62045696838906,98.82824719827555,9
1453,dean bhatt,93.62045696838906,98.82824719827555,9
1434,kevin cargos,95.93366333721008,98.80985268406148,12
1435,sean kellaher,95.93366333721008,98.80985268406148,12
647,nicholas rushing,92.18396271011213,98.79753272463265,8
648,ryan canfield,92.18396271011213,98.79753272463265,8
2259,kishore natchiappan,92.16254855242616,98.7942382388348,8
1298,patrick lefort,93.38800186706878,98.78555136333915,9
1297,francis clement,93.38800186706878,98.78555136333915,9
1254,thomas metz`,87.79131088848395,98.77913108884839,6
1799,amaan mujtaba jaweed,87.74524742297747,98.77452474229774,6
1800,prady vijayakumar,87.74524742297747,98.77452474229774,6
1259,carson ledford,78.5131232653948,98.77217847230827,4
897,owen setterlind,96.2138218162176,98.76949209027073,13
898,trevor kelly,96.2138218162176,98.76949209027073,13
895,maddie huffstetler,94.31916121253164,98.76503504620253,10
896,shelby vanderhoof,94.31916121253164,98.76503504620253,10
2033,owen fogarty,94.30102104488105,98.76109153149588,10
2032,mason fogarty,94.30102104488105,98.76109153149588,10
2196,jonathan scheelke,94.28336812838825,98.75725394095397,10
1856,ben harmon,95.0073644358705,98.75184110896762,11
1857,brian mirman,95.0073644358705,98.75184110896762,11
2381,will goetz,96.59380469136013,98.74508593892216,14
889,jake scharff,89.930768657228,98.74134608215351,7
2120,chaz klein,94.96186491006605,98.74046622751652,11
149,justin wang,98.73985390166102,98.73985390166102,68
877,john phillips,89.79339746860848,98.72417468357607,7
1355,jasmin-long najim,96.06866970868323,98.72231765532206,13
1356,raphael levesque,96.06866970868323,98.72231765532206,13
1803,aiedan acosta,87.21340706326609,98.72134070632661,6
1093,zach vanwingerden,87.17784872553628,98.71778487255364,6
399,waltteri heikkinen,95.61735941112391,98.71727592520699,12
398,amir youssef,95.61735941112391,98.71727592520699,12
1149,william dorion,98.20968463148806,98.71321082888204,23
1148,christopher dorion,98.20968463148806,98.71321082888204,23
30,anthony winney,97.0627276550727,98.69454562447676,16
577,michael leung,93.95337548556358,98.68551640990513,10
1949,dennis sobolewski,86.80588972151651,98.68058897215164,6
1950,tyler gould,86.80588972151651,98.68058897215164,6
1932,michael koch,86.72812159155309,98.6728121591553,6
1931,dorian klodnicki,86.72812159155309,98.6728121591553,6
1420,nathan yu,91.34267024001971,98.66810311384918,8
2334,jose maria egea rodenas,96.36145321020143,98.65948276165315,14
2335,manuel egea rodenas,96.36145321020143,98.65948276165315,14
1159,charles henri,94.61573826215185,98.65393456553797,11
1160,shonda couroux,94.61573826215185,98.65393456553797,11
237,jack tierney,86.53127952810844,98.65312795281085,6
236,austin andrews,86.53127952810844,98.65312795281085,6
878,zachary hutzell,89.1940497362304,98.64925621702879,7
1344,xavier lambert,98.1201105888577,98.64882948574147,23
131,ryan kavanaugh,89.16435886574672,98.64554485821834,7
1087,zachary regier,86.41261282205967,98.64126128220596,6
1086,abel tinsley,86.41261282205967,98.64126128220596,6
2171,dean otsuka,93.74549916491745,98.64032590541683,10
